discriminator,schema_version,lane_id,control_id,target_class,control_family,score,comparison_score,score_metric,sample_count,status,notes
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d1_sampled_s9_random_triple_proxy,factorization_sensitive_artifacts,sampled_non_factorized_s9,0.0,1.0,semantic_preservation_score,70,structured_beats_random,Sampled non-factorized control; not exhaustive S9 coverage.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d5_post_window_random_triple,interface_routing_refinement,random_triple,0.2222222222222222,0.8888888888888888,persistent_endpoint_column_accuracy,36,true_column_beats_random,Identity fixture only; sampled random grouping.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d6_signed_target_random_triple,edge_local,random_triple,0.09999999999999998,1.0,r2,9,port_beats_random,Matched nine-port factorial fixture; saturated port model expected to fit.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d7_immediate_random_triple,interface_routing_refinement,random_triple,0.2222222222222222,1.0,grouping_target_accuracy,36,true_column_beats_random,D7 semantic grouping comparison.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,shuffled_target_labels,all,shuffled_target,,,not_run,225,inconclusive_small_deterministic_fixture_set,No reusable large held-out dataset exists; shuffled-label control is deferred instead of inferred.
