comparison_id,source_experiment_or_discriminator,condition_id,transform_id,seed,spark_lane,candidate_event_id,column_h,column_h_branch_hit,column_h_threshold_hit,column_h_sign_crossing_hit,gate_reasons,evidence_label
lane_c_036,experiment_d_refinement_identity,d_equal_transfer_refinement,row_permutation_231,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_037,experiment_d_refinement_identity,d_equal_transfer_refinement,column_permutation_312,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_038,experiment_d_refinement_identity,d_equal_transfer_refinement,row_column_transpose,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_039,experiment_d_refinement_identity,d_equal_transfer_refinement,degree_preserving_random_relabel,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_040,experiment_d_refinement_identity,d_column_1_skewed_transfer,identity,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_041,experiment_d_refinement_identity,d_column_1_skewed_transfer,row_permutation_231,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_042,experiment_d_refinement_identity,d_column_1_skewed_transfer,column_permutation_312,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_043,experiment_d_refinement_identity,d_column_1_skewed_transfer,row_column_transpose,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_044,experiment_d_refinement_identity,d_column_1_skewed_transfer,degree_preserving_random_relabel,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_045,experiment_d_refinement_identity,d_column_2_skewed_transfer,identity,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_046,experiment_d_refinement_identity,d_column_2_skewed_transfer,row_permutation_231,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_047,experiment_d_refinement_identity,d_column_2_skewed_transfer,column_permutation_312,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_048,experiment_d_refinement_identity,d_column_2_skewed_transfer,row_column_transpose,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_049,experiment_d_refinement_identity,d_column_2_skewed_transfer,degree_preserving_random_relabel,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_050,experiment_d_refinement_identity,d_column_3_skewed_transfer,identity,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_051,experiment_d_refinement_identity,d_column_3_skewed_transfer,row_permutation_231,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_052,experiment_d_refinement_identity,d_column_3_skewed_transfer,column_permutation_312,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_053,experiment_d_refinement_identity,d_column_3_skewed_transfer,row_column_transpose,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
lane_c_054,experiment_d_refinement_identity,d_column_3_skewed_transfer,degree_preserving_random_relabel,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-24.0, -24.0, -24.0]",False,False,False,"[""signed_hessian_hit""]",direct_runtime_non_branch_diagnostic
