discriminator,schema_version,lane_id,checkpoint_phase,field_name,field_class,grouping,mode,eligible,reconstruction_path,max_abs_error,nonzero_port_count,zero_column_control,single_active_column_control,exact_reconstruction_claim,evidence_label,artifact_sources,notes
d7_multiscale,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,static_pre_refinement_fixture,conductance,nonnegative,true_column,exact_column_profile,True,G(field) -> Split(G(field)),1.1102230246251565e-16,8,column_3,column_2,True,direct,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns",Eligible nonnegative field reconstructs through true-column G/Split.
d7_multiscale,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,static_pre_refinement_fixture,geometric_length,nonnegative,true_column,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,column_3,column_2,True,direct,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns",Eligible nonnegative field reconstructs through true-column G/Split.
d7_multiscale,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,static_pre_refinement_fixture,temporal_delay,nonnegative,true_column,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,column_3,column_2,True,direct,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns",Eligible nonnegative field reconstructs through true-column G/Split.
d7_multiscale,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,static_pre_refinement_fixture,flux_coupling,nonnegative,true_column,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,column_3,column_2,True,direct,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns",Eligible nonnegative field reconstructs through true-column G/Split.
d7_multiscale,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,static_pre_refinement_fixture,abs_flux,nonnegative,true_column,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,column_3,column_2,True,direct,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns",Eligible nonnegative field reconstructs through true-column G/Split.
d7_multiscale,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,static_pre_refinement_fixture,signed_flux,signed_flux_j_plus_j_minus,true_column,signed_flux_split,True,G(J+) + G(J-) -> Split -> J+ - J-,0.0,8,column_3,column_2,True,direct,signed_flux_split positive/negative coarse states,Signed flux reconstructs exactly through J+/J- column split.
d7_multiscale,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,static_pre_refinement_fixture,signed_flux_compressed_total,compressed_signed_flux_lossy_control,true_column,compressed_signed_column_total_uniform_split,False,sum signed flux per column -> uniform Split,2.0833333333333335,8,column_3,column_2,False,derived,experiment-local lossy compressed signed control,Lossy signed compression diagnostic only; not exact reconstruction.
