experiment,schema_version,lane_id,field_name,field_class,mode,eligible,reconstruction_path,max_abs_error,nonzero_port_count,central_column_totals,zero_column_control,zero_column_profiles_uniform,single_active_column_control,single_active_column_reconstructs,signed_flux_j_split_available,compressed_signed_control_error,artifact_sources
experiment_e_coarse_graining_split,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,conductance,nonnegative,exact_column_profile,True,G(field) -> Split(G(field)),1.1102230246251565e-16,8,"[2.9999999999920632, 0.999999999997972, 0.0]",column_3,True,column_2,True,False,,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns"
experiment_e_coarse_graining_split,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,geometric_length,nonnegative,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,"[3.000000000004937, 1.000000000001028, 0.0]",column_3,True,column_2,True,False,,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns"
experiment_e_coarse_graining_split,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,temporal_delay,nonnegative,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,"[2.3392857142897427, 0.6666666666681086, 0.0]",column_3,True,column_2,True,False,,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns"
experiment_e_coarse_graining_split,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,flux_coupling,nonnegative,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,"[0.9999999999933663, 0.4999999999972977, 0.0]",column_3,True,column_2,True,False,,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns"
experiment_e_coarse_graining_split,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,abs_flux,nonnegative,exact_column_profile,True,G(field) -> Split(G(field)),0.0,8,"[0.9999999999933663, 0.4999999999972977, 0.0]",column_3,True,column_2,True,False,,"GRC9V3.coarse_grain_columns, GRC9V3.split_columns"
experiment_e_coarse_graining_split,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,signed_flux,signed_flux_j_plus_j_minus,signed_flux_split,True,G(J+) + G(J-) -> Split -> J+ - J-,0.0,8,"{""positive"": [3.25, 1.25, 0.0], ""negative"": [1.5, 0.0, 0.0]}",column_3,True,column_2,True,True,,signed_flux_split positive/negative coarse states
experiment_e_coarse_graining_split,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,signed_flux_compressed_total,compressed_signed_flux_lossy_control,compressed_signed_column_total_uniform_split,False,sum signed flux per column -> uniform Split,2.0833333333333335,8,"[1.75, 1.25, 0.0]",column_3,True,column_2,True,False,2.0833333333333335,experiment-local lossy compressed signed control
